id	relation
218	http://www.wikidata.org/prop/direct/P279
219	http://www.wikidata.org/prop/direct/P282
220	http://www.wikidata.org/prop/direct/P2852
221	http://www.wikidata.org/prop/direct/P2853
222	http://www.wikidata.org/prop/direct/P2868
223	http://www.wikidata.org/prop/direct/P287
224	http://www.wikidata.org/prop/direct/P2888
225	http://www.wikidata.org/prop/direct/P291
226	http://www.wikidata.org/prop/direct/P2910
227	http://www.wikidata.org/prop/direct/P2919
228	http://www.wikidata.org/prop/direct/P2936
229	http://www.wikidata.org/prop/direct/P2959
230	http://www.wikidata.org/prop/direct/P30
231	http://www.wikidata.org/prop/direct/P306
232	http://www.wikidata.org/prop/direct/P3075
233	http://www.wikidata.org/prop/direct/P3095
234	http://www.wikidata.org/prop/direct/P31
235	http://www.wikidata.org/prop/direct/P3156
236	http://www.wikidata.org/prop/direct/P3216
237	http://www.wikidata.org/prop/direct/P3259
238	http://www.wikidata.org/prop/direct/P3301
239	http://www.wikidata.org/prop/direct/P3306
240	http://www.wikidata.org/prop/direct/P3320
241	http://www.wikidata.org/prop/direct/P3335
242	http://www.wikidata.org/prop/direct/P3342
243	http://www.wikidata.org/prop/direct/P3373
244	http://www.wikidata.org/prop/direct/P3402
245	http://www.wikidata.org/prop/direct/P3403
246	http://www.wikidata.org/prop/direct/P344
247	http://www.wikidata.org/prop/direct/P3451
248	http://www.wikidata.org/prop/direct/P3461
249	http://www.wikidata.org/prop/direct/P35
250	http://www.wikidata.org/prop/direct/P3512
251	http://www.wikidata.org/prop/direct/P355
252	http://www.wikidata.org/prop/direct/P358
253	http://www.wikidata.org/prop/direct/P36
254	http://www.wikidata.org/prop/direct/P360
255	http://www.wikidata.org/prop/direct/P3602
256	http://www.wikidata.org/prop/direct/P361
257	http://www.wikidata.org/prop/direct/P364
258	http://www.wikidata.org/prop/direct/P3650
259	http://www.wikidata.org/prop/direct/P366
260	http://www.wikidata.org/prop/direct/P367
261	http://www.wikidata.org/prop/direct/P37
262	http://www.wikidata.org/prop/direct/P371
263	http://www.wikidata.org/prop/direct/P3712
264	http://www.wikidata.org/prop/direct/P375
265	http://www.wikidata.org/prop/direct/P38
266	http://www.wikidata.org/prop/direct/P3803
267	http://www.wikidata.org/prop/direct/P3828
268	http://www.wikidata.org/prop/direct/P3834
269	http://www.wikidata.org/prop/direct/P3896
270	http://www.wikidata.org/prop/direct/P39
271	http://www.wikidata.org/prop/direct/P3919
272	http://www.wikidata.org/prop/direct/P397
273	http://www.wikidata.org/prop/direct/P3975
274	http://www.wikidata.org/prop/direct/P398
275	http://www.wikidata.org/prop/direct/P40
276	http://www.wikidata.org/prop/direct/P400
277	http://www.wikidata.org/prop/direct/P4004
278	http://www.wikidata.org/prop/direct/P404
279	http://www.wikidata.org/prop/direct/P406
280	http://www.wikidata.org/prop/direct/P407
281	http://www.wikidata.org/prop/direct/P408
282	http://www.wikidata.org/prop/direct/P41
283	http://www.wikidata.org/prop/direct/P410
284	http://www.wikidata.org/prop/direct/P412
285	http://www.wikidata.org/prop/direct/P413
286	http://www.wikidata.org/prop/direct/P414
287	http://www.wikidata.org/prop/direct/P417
288	http://www.wikidata.org/prop/direct/P418
289	http://www.wikidata.org/prop/direct/P4195
290	http://www.wikidata.org/prop/direct/P421
291	http://www.wikidata.org/prop/direct/P4312
292	http://www.wikidata.org/prop/direct/P4330
293	http://www.wikidata.org/prop/direct/P437
294	http://www.wikidata.org/prop/direct/P443
295	http://www.wikidata.org/prop/direct/P449
296	http://www.wikidata.org/prop/direct/P451
297	http://www.wikidata.org/prop/direct/P452
298	http://www.wikidata.org/prop/direct/P457
299	http://www.wikidata.org/prop/direct/P460
300	http://www.wikidata.org/prop/direct/P461
301	http://www.wikidata.org/prop/direct/P462
302	http://www.wikidata.org/prop/direct/P463
303	http://www.wikidata.org/prop/direct/P4640
304	http://www.wikidata.org/prop/direct/P47
305	http://www.wikidata.org/prop/direct/P4733
306	http://www.wikidata.org/prop/direct/P479
307	http://www.wikidata.org/prop/direct/P483
308	http://www.wikidata.org/prop/direct/P485
309	http://www.wikidata.org/prop/direct/P488
310	http://www.wikidata.org/prop/direct/P4896
311	http://www.wikidata.org/prop/direct/P495
312	http://www.wikidata.org/prop/direct/P4969
313	http://www.wikidata.org/prop/direct/P50
314	http://www.wikidata.org/prop/direct/P5021
315	http://www.wikidata.org/prop/direct/P5028
316	http://www.wikidata.org/prop/direct/P5072
317	http://www.wikidata.org/prop/direct/P509
318	http://www.wikidata.org/prop/direct/P51
319	http://www.wikidata.org/prop/direct/P512
320	http://www.wikidata.org/prop/direct/P5125
321	http://www.wikidata.org/prop/direct/P522
322	http://www.wikidata.org/prop/direct/P5236
323	http://www.wikidata.org/prop/direct/P527
324	http://www.wikidata.org/prop/direct/P53
325	http://www.wikidata.org/prop/direct/P530
326	http://www.wikidata.org/prop/direct/P54
327	http://www.wikidata.org/prop/direct/P541
328	http://www.wikidata.org/prop/direct/P5422
329	http://www.wikidata.org/prop/direct/P547
330	http://www.wikidata.org/prop/direct/P551
331	http://www.wikidata.org/prop/direct/P552
332	http://www.wikidata.org/prop/direct/P5555
333	http://www.wikidata.org/prop/direct/P5658
334	http://www.wikidata.org/prop/direct/P57
335	http://www.wikidata.org/prop/direct/P575
336	http://www.wikidata.org/prop/direct/P58
337	http://www.wikidata.org/prop/direct/P5869
338	http://www.wikidata.org/prop/direct/P5970
339	http://www.wikidata.org/prop/direct/P6
340	http://www.wikidata.org/prop/direct/P607
341	http://www.wikidata.org/prop/direct/P61
342	http://www.wikidata.org/prop/direct/P610
343	http://www.wikidata.org/prop/direct/P6104
344	http://www.wikidata.org/prop/direct/P6186
345	http://www.wikidata.org/prop/direct/P6216
346	http://www.wikidata.org/prop/direct/P6259
347	http://www.wikidata.org/prop/direct/P6275
348	http://www.wikidata.org/prop/direct/P6363
349	http://www.wikidata.org/prop/direct/P6365
350	http://www.wikidata.org/prop/direct/P6379
351	http://www.wikidata.org/prop/direct/P641
352	http://www.wikidata.org/prop/direct/P65
353	http://www.wikidata.org/prop/direct/P6541
354	http://www.wikidata.org/prop/direct/P655
355	http://www.wikidata.org/prop/direct/P658
356	http://www.wikidata.org/prop/direct/P664
357	http://www.wikidata.org/prop/direct/P674
358	http://www.wikidata.org/prop/direct/P676
359	http://www.wikidata.org/prop/direct/P6802
360	http://www.wikidata.org/prop/direct/P684
361	http://www.wikidata.org/prop/direct/P6872
362	http://www.wikidata.org/prop/direct/P688
363	http://www.wikidata.org/prop/direct/P6886
364	http://www.wikidata.org/prop/direct/P69
365	http://www.wikidata.org/prop/direct/P6962
366	http://www.wikidata.org/prop/direct/P7014
367	http://www.wikidata.org/prop/direct/P703
368	http://www.wikidata.org/prop/direct/P706
369	http://www.wikidata.org/prop/direct/P7084
370	http://www.wikidata.org/prop/direct/P7101
371	http://www.wikidata.org/prop/direct/P725
372	http://www.wikidata.org/prop/direct/P7294
373	http://www.wikidata.org/prop/direct/P7327
374	http://www.wikidata.org/prop/direct/P734
375	http://www.wikidata.org/prop/direct/P735
376	http://www.wikidata.org/prop/direct/P736
377	http://www.wikidata.org/prop/direct/P737
378	http://www.wikidata.org/prop/direct/P740
379	http://www.wikidata.org/prop/direct/P7415
380	http://www.wikidata.org/prop/direct/P747
381	http://www.wikidata.org/prop/direct/P749
382	http://www.wikidata.org/prop/direct/P750
383	http://www.wikidata.org/prop/direct/P7501
384	http://www.wikidata.org/prop/direct/P767
385	http://www.wikidata.org/prop/direct/P7763
386	http://www.wikidata.org/prop/direct/P7779
387	http://www.wikidata.org/prop/direct/P78
388	http://www.wikidata.org/prop/direct/P7867
389	http://www.wikidata.org/prop/direct/P793
390	http://www.wikidata.org/prop/direct/P7936
391	http://www.wikidata.org/prop/direct/P7937
392	http://www.wikidata.org/prop/direct/P7938
393	http://www.wikidata.org/prop/direct/P7959
394	http://www.wikidata.org/prop/direct/P797
395	http://www.wikidata.org/prop/direct/P800
396	http://www.wikidata.org/prop/direct/P802
397	http://www.wikidata.org/prop/direct/P807
398	http://www.wikidata.org/prop/direct/P832
399	http://www.wikidata.org/prop/direct/P8345
400	http://www.wikidata.org/prop/direct/P837
401	http://www.wikidata.org/prop/direct/P840
402	http://www.wikidata.org/prop/direct/P8402
403	http://www.wikidata.org/prop/direct/P8411
404	http://www.wikidata.org/prop/direct/P8431
405	http://www.wikidata.org/prop/direct/P85
406	http://www.wikidata.org/prop/direct/P852
407	http://www.wikidata.org/prop/direct/P853
408	http://www.wikidata.org/prop/direct/P8546
409	http://www.wikidata.org/prop/direct/P8571
410	http://www.wikidata.org/prop/direct/P859
411	http://www.wikidata.org/prop/direct/P86
